pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
Sample Time:  0.016666666666666666
QCar configured successfully.
slope 0.37405107649675845
intercept 7.852218635067968
slope 0.37060765100687026
intercept 8.85342689857904
slope 0.3772385871468259
intercept 7.318795736728029
slope 0.3708870822520419
intercept 3.3020875164964987
slope 0.34626679458642357
intercept -13.612498200147112
slope 0.3545132294117301
intercept -26.384638543749624
slope 0.36441026804702203
intercept -40.12545372856197
slope 0.37450506338895906
intercept -55.9427075548422
slope 0.4446712463632842
intercept -132.02912577849202
slope 0.6048474470277452
intercept -354.22762765879025
slope 0.3419
intercept 0
slope 0.3419
intercept 0
slope -0.07869681733244442
intercept 139.5784302459477
slope 0.3419
intercept 0
slope 0.3419
intercept 0
slope 0.3419
intercept 0
slope 0.3419
intercept 0
slope 0.3419
intercept 0
slope 0.3419
intercept 0
slope 0.3419
intercept 0
slope -0.006562766080264055
intercept 111.12651900223872
slope -0.04699810040240769
intercept 126.02375771667023
slope -0.045141066855390585
intercept 103.57033949193503
slope -0.010651087275884605
intercept 22.959433929053038
slope -0.012360570856950795
intercept 84.20417548350201
slope 0.0470980646392711
intercept 70.37014622574729
slope 0.267131763508791
intercept 13.891790918732955
slope 0.3012734162574974
intercept 9.183719762705683
slope 0.37940661555987665
intercept -15.879158461937037
slope 0.39373022978642525
intercept -25.2688646507332
slope 0.39323628686909506
intercept -25.69520562940318
slope 0.396931932414656
intercept -26.395761506228965
slope 0.39645441534921105
intercept -26.482605067697534
slope 0.3951844813440047
intercept -25.613304517203094
slope 0.3972391085454108
intercept -26.052530353272335
slope 0.39969887476527627
intercept -27.231856332854623
slope 0.3984734985907906
intercept -26.570776374196374
slope 0.3955700017072001
intercept -26.45330523718247
slope 0.39537936867843626
intercept -26.153085618374575
slope 0.3985834906104904
intercept -27.379150672556683
slope 0.3945301294400349
intercept -25.510925747543247
slope 0.3942396309418346
intercept -25.463595300254955
slope 0.3948759249367201
intercept -25.871652416663974
slope 0.3989898167987272
intercept -27.10362099680618
slope 0.3965610824412891
intercept -26.34885961925694
slope 0.3953299726658011
intercept -25.809036916767116
slope 0.39491281471737255
intercept -26.23652007725903
slope 0.39699211767309506
intercept -26.502821024912134
slope 0.4022376050248344
intercept -27.967800037713722
slope 0.3937849483951552
intercept -25.48047276621911
slope 0.4012120679710997
intercept -27.40701005961061
slope 0.3905289961493648
intercept -25.156649903170795
slope 0.4020919448222825
intercept -27.58631264890246
slope 0.39617318968427606
intercept -26.57025162503394
slope 0.39550317845797706
intercept -25.556434680214675
slope 0.3956248377599269
intercept -26.0613036342278
slope 0.40044952547905915
intercept -27.13375178478756
slope 0.39319312332207673
intercept -25.609185036902684
slope 0.397385419396799
intercept -27.373978967459248
slope 0.39310819526311797
intercept -25.310019531248663
slope 0.3960427644378316
intercept -26.330754161765835
slope 0.39692241033816184
intercept -25.724451579858798
slope 0.3948526854498912
intercept -25.88766215653418
slope 0.39391137727372816
intercept -25.603942986716703
slope 0.3882513592897093
intercept -24.155323638539905
slope 0.3930671210401996
intercept -25.04980517354283
slope 0.3975808628512928
intercept -26.30647611651766
slope 0.3965523399910948
intercept -26.613223631827008
slope 0.39545298428158676
intercept -26.095385681087834
slope 0.3921695360184736
intercept -25.556050389672293
slope 0.39288070113502677
intercept -25.3258976604768
slope 0.39326511021481697
intercept -25.609809768213257
slope 0.39634632496306216
