pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
Sample Time:  0.016666666666666666
QCar configured successfully.
slope 0.3419
intercept 0
slope 0.3782392004431193
intercept -20.64517491685619
slope 0.37557836818970475
intercept -19.535410891119135
slope 0.3710013474821735
intercept -18.15413481468091
slope 0.37655952799597747
intercept -19.76896519771096
slope 0.3706762658200148
intercept -17.824568745741033
slope 0.37541279675300027
intercept -19.470003858049658
slope 0.3762156493247829
intercept -20.11618557802658
slope 0.37342312989204113
intercept -18.834363007339846
slope 0.3814086788537963
intercept -21.337145249222505
slope 0.37401498159391366
intercept -18.9580034433654
slope 0.37304554877335755
intercept -18.816480819103035
slope 0.3774652392666511
intercept -19.878266130746642
slope 0.37454052187933534
intercept -19.2256737026708
slope 0.3754497304856769
intercept -19.396302787874596
slope 0.38003779613945615
intercept -21.337976624756212
slope 0.37633530727430126
intercept -19.502310734634577
slope 0.37774660553569794
intercept -20.209352254268143
slope 0.37990101067546383
intercept -20.93836096786845
slope 0.3728980023579739
intercept -18.421462586626337
slope 0.3756488006150799
intercept -19.34917178709565
slope 0.37386481742629557
intercept -18.429650580223214
slope 0.3777676161029909
intercept -20.19817895188197
slope 0.3721315522265722
intercept -18.80801472106596
slope 0.37323800862457907
intercept -19.021486220198142
slope 0.3720232260525039
intercept -18.65503967887983
slope 0.371441841814212
intercept -18.76047961950299
slope 0.3776099070274566
intercept -19.633187046803574
slope 0.3753450675203691
intercept -19.150172213256663
slope 0.37804154742017276
intercept -19.709338395284707
slope 0.37887027630403103
intercept -20.169418219276796
slope 0.3772697256182793
intercept -20.450588006234863
slope 0.3775234939491324
intercept -20.033841120595582
slope 0.3737988847755152
intercept -19.152848117193813
slope 0.37391987551717165
intercept -18.97052502421689
slope 0.37123947758361237
intercept -18.887289447781964
slope 0.3783528836094223
intercept -20.462222509955883
slope 0.37458805310730003
intercept -20.091594780537903
slope 0.3754998520111209
intercept -19.433846598674464
slope 0.3770897288171075
intercept -19.677647647266873
slope 0.3680471236125588
intercept -17.55536221285623
slope 0.3731878667312814
intercept -18.28691620134674
slope 0.37204078844913796
intercept -18.282186559129887
slope 0.3741359118963519
intercept -19.163987279533877
slope 0.3727133915559592
intercept -18.57940759698106
slope 0.377921193691763
intercept -20.305236531657574
slope 0.3769658296841813
intercept -19.464029932686422
slope 0.37361303589015155
intercept -18.857914344271826
slope 0.3745284528088884
intercept -18.85118911570215
slope 0.3740030009057339
intercept -19.665400515941432
slope 0.37415341933905427
intercept -19.535948438709724
slope 0.3758494481722545
intercept -19.25372680011397
slope 0.3741070687258539
intercept -19.396953463238862
slope 0.3723785860722238
intercept -18.713663938294353
slope 0.3735458241704206
intercept -19.19076285876632
slope 0.37480951897644244
intercept -19.072916897535464
slope 0.3748191383785565
intercept -19.37008870458874
slope 0.37418909960849606
intercept -19.309410621968667
slope 0.3713504248956538
intercept -18.490561010145168
slope 0.37606858904171614
intercept -19.690780873855218
slope 0.37653652840639873
intercept -19.940348755081565
slope 0.3781513118230865
intercept -19.876705725496375
slope 0.377771032335095
intercept -20.102901419285324
slope 0.37304914787622123
intercept -19.249750245519408
slope 0.3690682683787515
intercept -18.358742306771948
slope 0.3747415031577857
intercept -18.99415319992541
slope 0.3755982212234896
intercept -19.62693330683969
slope 0.3758576598266946
intercept -19.858937614642898
slope 0.37176191397505987
intercept -19.366763825797015
slope 0.3729385520201763
